weather_id,site_id,weather_date,avg_temperature_c,wind_speed_mps,solar_irradiance_kwh_m2,rainfall_mm
W00036,S001,2024-02-05,9.04,11.88,3.18,8.84
W00037,S001,2024-02-06,3.63,10.72,3.08,0
W00038,S001,2024-02-07,9.65,8.73,2.08,1.49
W00039,S001,2024-02-08,7.8,8.64,2.54,0.75
W00040,S001,2024-02-09,9.41,13.28,2.46,0.59
W00041,S001,2024-02-10,3.06,6.25,2.57,0
W00042,S001,2024-02-11,6.73,8.49,0.57,0.51
W00043,S001,2024-02-12,9.99,10.4,1.85,0
W00044,S001,2024-02-13,3.38,8.33,1.83,1.95
W00045,S001,2024-02-14,1.84,9.94,2.97,5.25
W00046,S001,2024-02-15,8.81,8.25,3.66,2.7
W00047,S001,2024-02-16,15.71,9.93,0.85,2.04
W00048,S001,2024-02-17,8.03,9.84,1.04,2.01
W00049,S001,2024-02-18,8.92,10.21,2.6,4.27
W00050,S001,2024-02-19,13.67,11.07,3.65,5.82
W00051,S001,2024-02-20,1.27,9.39,1.99,0
W00052,S001,2024-02-21,12.27,4.83,2.28,5.22
W00053,S001,2024-02-22,7.14,7.58,1.92,0.04
W00054,S001,2024-02-23,4.14,7.8,3.17,5.92
W00055,S001,2024-02-24,7.6,10.34,1.02,0
W00056,S001,2024-02-25,10.39,7.96,2.97,6.95
W00057,S001,2024-02-26,6.28,6.44,1.32,4.33
W00058,S001,2024-02-27,12.51,3.67,2.13,0
W00059,S001,2024-02-28,11.61,5.77,2.76,0.05
W00060,S001,2024-02-29,12.23,9.2,2.3,1.1
W00061,S001,2024-03-01,18.1,8.43,3.44,8.35
W00062,S001,2024-03-02,21.94,12.07,2.78,0
W00063,S001,2024-03-03,25.58,11.21,3.15,1.61
W00064,S001,2024-03-04,21.56,6.65,1.22,8.52
W00065,S001,2024-03-05,12.89,10.98,1.55,0
W00066,S001,2024-03-06,11.0,8.53,1.95,0
W00067,S001,2024-03-07,19.48,10.77,1.57,0
W00068,S001,2024-03-08,17.08,12.27,2.07,3.64
W00069,S001,2024-03-09,15.49,8.38,1.67,0
W00070,S001,2024-03-10,16.1,7.37,2.63,0
W00071,S001,2024-03-11,18.59,6.62,0.8,9.72
W00072,S001,2024-03-12,9.17,7.38,3.99,7.54
W00073,S001,2024-03-13,14.48,11.3,2.99,1.95
W00074,S001,2024-03-14,7.87,7.1,3.0,4.82
W00075,S001,2024-03-15,29.8,10.34,2.24,0
W00076,S001,2024-03-16,19.36,3.95,1.3,3.93
W00077,S001,2024-03-17,22.99,5.96,2.11,1.41
W00078,S001,2024-03-18,22.12,4.4,1.94,5.74
W00079,S001,2024-03-19,14.0,9.75,3.59,3.53
W00080,S001,2024-03-20,18.51,5.53,1.11,0
W00081,S001,2024-03-21,15.04,11.26,1.71,0
W00082,S001,2024-03-22,15.3,6.0,4.03,2.44
W00083,S001,2024-03-23,26.62,6.39,1.56,1.72
W00084,S001,2024-03-24,3.46,6.28,2.71,0
W00085,S001,2024-03-25,11.52,7.06,2.88,7.36
W00086,S001,2024-03-26,20.87,5.79,2.09,9.31
W00087,S001,2024-03-27,21.9,7.22,2.07,0.92
W00088,S001,2024-03-28,10.29,8.5,3.47,0
W00089,S001,2024-03-29,11.35,4.19,2.52,9.25
W00090,S001,2024-03-30,21.37,9.65,1.78,6.19
W00091,S001,2024-03-31,10.66,12.04,3.48,2.9
W00092,S001,2024-04-01,18.9,8.09,2.0,1.54
W00093,S001,2024-04-02,13.54,9.96,2.54,4.23
W00094,S001,2024-04-03,16.1,6.75,2.88,2.48
W00095,S001,2024-04-04,21.92,7.15,0.78,5.73
W00096,S001,2024-04-05,15.81,7.04,2.98,0
W00097,S001,2024-04-06,15.71,7.92,1.77,0.82
W00098,S001,2024-04-07,14.47,5.63,0.69,3.97
W00099,S001,2024-04-08,13.28,10.2,2.02,5.85
W00100,S001,2024-04-09,10.38,8.87,2.36,12.26
W00101,S001,2024-04-10,16.99,9.14,3.38,5.09
W00102,S001,2024-04-11,15.32,11.72,1.28,4.85
W00103,S001,2024-04-12,14.58,7.38,1.89,2.13
W00104,S001,2024-04-13,16.78,10.68,2.45,3.31
W00105,S001,2024-04-14,22.84,11.54,2.07,5.86
W00106,S001,2024-04-15,7.88,10.42,2.48,0.39
W00107,S001,2024-04-16,11.62,9.73,1.59,5.99
W00108,S001,2024-04-17,16.38,1,1.95,3.55
W00109,S001,2024-04-18,12.03,7.13,1.98,10.32
W00110,S001,2024-04-19,13.92,10.03,1.82,4.43
W00111,S001,2024-04-20,12.03,7.97,1.74,0
W00112,S001,2024-04-21,13.77,13.62,1.28,0
W00113,S001,2024-04-22,18.1,5.83,2.27,2.4
W00114,S001,2024-04-23,20.8,13.13,2.99,4.89
W00115,S001,2024-04-24,18.73,9.7,1.68,4.9
W00116,S001,2024-04-25,16.09,7.19,3.46,0
W00117,S001,2024-04-26,18.26,6.3,0.86,2.64
W00118,S001,2024-04-27,16.83,9.02,2.47,0
W00119,S001,2024-04-28,20.85,5.83,2.25,0
W00120,S001,2024-04-29,11.16,9.9,3.4,0
W00121,S001,2024-04-30,8.24,7.03,2.33,0
W00122,S001,2024-05-01,22.15,10.07,2.22,5.59
W00123,S001,2024-05-02,12.93,5.9,0.27,2.9
W00124,S001,2024-05-03,11.25,12.02,3.65,3.6
W00125,S001,2024-05-04,13.62,3.87,1.39,1.26
W00126,S001,2024-05-05,9.36,6.58,2.85,0
W00127,S001,2024-05-06,15.89,10.16,2.06,0
W00128,S001,2024-05-07,13.43,6.73,4.24,1.95
W00129,S001,2024-05-08,13.4,13.21,1.94,0
W00130,S001,2024-05-09,8.86,3.5,1.51,4.68
W00131,S001,2024-05-10,17.51,4.4,3.97,1.28
W00132,S001,2024-05-11,10.8,9.58,1.61,0.88
W00133,S001,2024-05-12,6.35,9.53,2.75,6.77
W00134,S001,2024-05-13,8.03,5.46,2.04,0.38
W00135,S001,2024-05-14,15.96,9.67,2.35,3.98
W00136,S001,2024-05-15,19.05,6.22,1.74,1.84
W00137,S001,2024-05-16,18.39,5.11,2.65,3.63
W00138,S001,2024-05-17,10.16,9.39,2.3,0
W00139,S001,2024-05-18,12.67,7.3,2.23,0
W00140,S001,2024-05-19,6.32,10.7,2.29,4.44
W00141,S001,2024-05-20,24.2,10.38,2.61,5.45
W00142,S001,2024-05-21,14.34,10.73,3.19,6.57
W00143,S001,2024-05-22,12.04,12.11,0.93,4.6
W00144,S001,2024-05-23,10.73,7.43,2.97,0
W00145,S001,2024-05-24,22.2,11.55,1.63,0
W00146,S001,2024-05-25,20.35,10.56,1.01,0
W00147,S001,2024-05-26,8.83,3.34,2.91,4.22
W00148,S001,2024-05-27,28.13,15.59,0.72,0
W00149,S001,2024-05-28,24.49,10.2,1.77,2.27
W00150,S001,2024-05-29,23.57,6.16,1.84,5.68
W00151,S001,2024-05-30,21.66,6.65,2.75,11.82
W00152,S001,2024-05-31,8.96,7.93,1.77,2.67
W00153,S001,2024-06-01,13.2,4.92,2.53,0.3
W00154,S001,2024-06-02,9.55,6.35,1.27,4.7
W00155,S001,2024-06-03,10.85,4.55,2.3,1.76
W00156,S001,2024-06-04,18.3,8.48,1.01,4.43
W00157,S001,2024-06-05,17.81,3.87,2.61,3.71
W00158,S001,2024-06-06,17.23,8.56,1.36,9.63
W00159,S001,2024-06-07,4.92,10.52,2.23,0.94
W00160,S001,2024-06-08,12.73,10.75,2.48,0
W00161,S001,2024-06-09,11.84,5.81,2.33,6.08
W00162,S001,2024-06-10,16.71,7.55,3.07,0.36
W00163,S001,2024-06-11,9.9,11.64,1.37,0
W00164,S001,2024-06-12,15.89,9.89,1.66,4.47
W00165,S001,2024-06-13,23.3,9.99,1.78,1.14
W00166,S001,2024-06-14,14.43,8.28,1.17,6.31
W00167,S001,2024-06-15,19.68,9.05,2.29,0
W00168,S001,2024-06-16,9.04,5.85,1.81,0.62
W00169,S001,2024-06-17,11.22,8.82,2.84,4.6
W00170,S001,2024-06-18,20.24,9.26,2.34,3.22
W00171,S001,2024-06-19,13.5,9.63,3.18,0.16
W00172,S001,2024-06-20,12.79,11.86,2.08,7.09
W00173,S001,2024-06-21,12.6,11.49,1.36,6.8
W00174,S001,2024-06-22,15.22,4.2,1.89,3.67
W00175,S001,2024-06-23,11.55,3.23,1.39,6.1
W00176,S001,2024-06-24,33.94,7.9,3.44,2.32
W00177,S001,2024-06-25,19.51,8.83,2.16,0
W00178,S001,2024-06-26,19.98,8.87,2.48,1.75
W00179,S001,2024-06-27,9.65,12.85,1.32,3.8
W00180,S001,2024-06-28,16.46,9.55,2.37,0
W00181,S001,2024-06-29,10.71,7.33,0.55,1.63
W00182,S001,2024-06-30,12.73,10.8,1.88,3.77
W00183,S001,2024-07-01,26.96,8.03,1.94,3.48
W00184,S001,2024-07-02,16.46,8.25,1.47,3.78
W00185,S001,2024-07-03,12.91,2.4,2.43,5.51
W00186,S001,2024-07-04,17.92,6.9,2.66,2.38
W00187,S001,2024-07-05,10.15,11.8,2.89,6.66
W00188,S001,2024-07-06,20.98,5.56,2.28,5.81
W00189,S001,2024-07-07,16.31,7.3,2.78,6.28
W00190,S001,2024-07-08,9.15,8.2,0.78,10.21
W00191,S001,2024-07-09,14.57,6.99,2.63,0
W00192,S001,2024-07-10,13.26,8.32,1.51,1.11
W00193,S001,2024-07-11,20.56,12.75,2.73,7.7
W00194,S001,2024-07-12,5.4,6.11,1.8,3.44
W00195,S001,2024-07-13,7.01,7.98,1.9,4.17
W00196,S001,2024-07-14,26.43,11.47,3.14,0.67
W00197,S001,2024-07-15,16.26,12.26,3.06,5.07
W00198,S001,2024-07-16,17.71,7.7,2.01,3.86
W00199,S001,2024-07-17,13.42,4.47,1.33,2.8
W00200,S001,2024-07-18,10.51,12.36,2.67,0.94
W00201,S001,2024-07-19,11.68,2.35,2.03,4.32
W00202,S001,2024-07-20,20.12,7.06,2.16,5.75
W00203,S001,2024-07-21,4.66,8.97,0.55,2.39
W00204,S001,2024-07-22,13.6,11.84,2.15,0.34
W00205,S001,2024-07-23,16.68,7.11,2.72,2.88
W00206,S001,2024-07-24,27.33,12.01,1.11,0
W00207,S001,2024-07-25,14.4,9.2,1.35,0
W00208,S001,2024-07-26,22.11,10.02,2.09,1.62
W00209,S001,2024-07-27,17.75,5.81,2.88,3.15
W00210,S001,2024-07-28,14.22,12.1,2.62,1.03
W00211,S001,2024-07-29,13.06,10.68,3.16,9.49
W00212,S001,2024-07-30,10.89,7.43,1.71,4.79
W00213,S001,2024-07-31,21.19,7.76,2.32,5.76
W00214,S001,2024-08-01,19.62,7.88,2.74,1.17
W00215,S001,2024-08-02,21.59,10.17,1.94,5.15
W00216,S001,2024-08-03,12.89,7.92,1.8,0
W00217,S001,2024-08-04,14.64,7.92,2.44,0
W00218,S001,2024-08-05,21.23,9.58,1.75,0
W00219,S001,2024-08-06,15.96,8.64,1.36,4.99
W00220,S001,2024-08-07,15.91,8.04,0.71,1.83
W00221,S001,2024-08-08,10.4,11.08,2.2,8.53
W00222,S001,2024-08-09,23.41,9.03,1.2,7.69
W00223,S001,2024-08-10,20.82,7.86,2.36,0.74
W00224,S001,2024-08-11,17.71,10.67,1.11,0
W00225,S001,2024-08-12,13.46,9.26,1.88,5.58
W00226,S001,2024-08-13,17.78,9.63,2.11,0
W00227,S001,2024-08-14,13.0,8.36,2.3,0
W00228,S001,2024-08-15,24.87,11.28,2.23,10.16
W00229,S001,2024-08-16,15.52,10.25,0.84,2.41
W00230,S001,2024-08-17,10.07,9.45,1.69,0
W00231,S001,2024-08-18,21.53,9.44,2.44,2.96
W00232,S001,2024-08-19,11.88,11.37,1.37,4.76
W00233,S001,2024-08-20,14.5,13.58,2.21,2.71
W00234,S001,2024-08-21,14.23,11.72,2.4,0
W00235,S001,2024-08-22,13.22,6.45,2.1,1.65
W00236,S001,2024-08-23,13.47,12.9,1.08,1.09
W00237,S001,2024-08-24,8.22,6.39,1.83,0
W00238,S001,2024-08-25,13.61,12.67,1.64,0.62
W00239,S001,2024-08-26,9.24,7.15,2.68,7.22
W00240,S001,2024-08-27,24.7,5.42,0.68,5.68
W00241,S001,2024-08-28,16.0,8.5,2.42,0
W00242,S001,2024-08-29,23.92,6.15,2.2,0
W00243,S001,2024-08-30,19.2,11.06,2.37,10.47
W00244,S001,2024-08-31,12.2,8.83,1.68,0.04
W00245,S001,2024-09-01,19.45,15.33,0.4,5.43
W00246,S001,2024-09-02,8.09,10.28,2.33,4.99
W00247,S001,2024-09-03,16.14,9.67,0.4,0
W00248,S001,2024-09-04,16.66,10.06,1.49,2.56
W00249,S001,2024-09-05,19.51,10.32,1.39,3.31
W00250,S001,2024-09-06,14.43,6.11,2.93,0.6
W00251,S001,2024-09-07,12.4,10.6,2.55,2.79
W00252,S001,2024-09-08,12.0,5.44,2.11,5.21
W00253,S001,2024-09-09,16.65,7.71,3.55,7.14
W00254,S001,2024-09-10,26.19,10.15,3.14,4.58
W00255,S001,2024-09-11,18.23,6.49,0.64,2.94
W00256,S001,2024-09-12,25.83,6.71,3.0,0.18
W00257,S001,2024-09-13,13.66,6.46,1.93,0
W00258,S001,2024-09-14,18.56,8.08,1.55,5.79
W00259,S001,2024-09-15,21.56,4.84,3.15,0
W00260,S001,2024-09-16,22.27,6.92,2.0,0.59
W00261,S001,2024-09-17,19.28,7.24,2.15,10.14
W00262,S001,2024-09-18,18.43,6.34,2.31,6.57
W00263,S001,2024-09-19,7.29,6.99,1.58,0
W00264,S001,2024-09-20,15.52,10.28,3.18,4.69
W00265,S001,2024-09-21,14.87,1.87,3.78,0
W00266,S001,2024-09-22,23.97,9.72,1.91,1.95
W00267,S001,2024-09-23,12.41,8.68,2.3,0
W00268,S001,2024-09-24,11.4,11.16,2.17,0
W00269,S001,2024-09-25,9.59,5.29,2.61,0
W00270,S001,2024-09-26,8.89,7.07,2.86,3.94
W00271,S001,2024-09-27,26.26,5.3,0.34,3.9
W00272,S001,2024-09-28,15.7,10.55,2.89,1.94
W00273,S001,2024-09-29,12.41,11.72,2.53,5.58
W00274,S001,2024-09-30,7.99,8.94,1.86,1.99
W00275,S001,2024-10-01,15.14,9.23,1.05,6.9
W00276,S001,2024-10-02,16.03,6.41,2.07,0
W00277,S001,2024-10-03,12.13,7.13,1.16,0
W00278,S001,2024-10-04,17.23,11.86,2.35,0
W00279,S001,2024-10-05,26.0,5.22,3.12,0.32
W00280,S001,2024-10-06,16.2,7.44,0.91,0
W00281,S001,2024-10-07,26.84,5.67,2.1,0
W00282,S001,2024-10-08,14.28,11.34,1.92,12.62
W00283,S001,2024-10-09,13.73,5.83,2.32,2.78
W00284,S001,2024-10-10,9.32,6.58,3.92,4.49
W00285,S001,2024-10-11,11.54,8.42,1.33,4.31
W00286,S001,2024-10-12,14.71,10.93,1.7,7.87
W00287,S001,2024-10-13,10.55,9.69,1.86,3.38
W00288,S001,2024-10-14,16.1,2.44,0.59,0
W00289,S001,2024-10-15,20.87,11.85,2.38,0
W00290,S001,2024-10-16,9.42,10.61,2.84,0
W00291,S001,2024-10-17,24.35,7.07,0.92,5.2
W00292,S001,2024-10-18,18.44,9.38,1.99,2.36
W00293,S001,2024-10-19,9.49,12.16,2.01,1.84
W00294,S001,2024-10-20,15.7,5.75,3.64,9.75
W00295,S001,2024-10-21,19.89,7.34,1.93,0
W00296,S001,2024-10-22,13.64,9.35,2.13,3.69
W00297,S001,2024-10-23,19.87,14.78,3.15,0.55
W00298,S001,2024-10-24,17.28,9.5,2.38,0
W00299,S001,2024-10-25,15.45,5.5,1.2,1.7
W00300,S001,2024-10-26,22.43,9.16,3.69,6.3
W00301,S001,2024-10-27,20.12,13.47,3.41,0
W00302,S001,2024-10-28,15.59,12.98,2.04,6.33
W00303,S001,2024-10-29,10.21,7.7,2.1,9.08
W00304,S001,2024-10-30,16.05,8.0,0.91,7.93
W00305,S001,2024-10-31,21.98,7.44,2.55,1.39
W00306,S001,2024-11-01,0.2,3.17,2.0,2.58
W00307,S001,2024-11-02,10.85,7.33,2.99,11.6
W00308,S001,2024-11-03,8.93,5.83,3.1,1.53
W00309,S001,2024-11-04,5.1,8.33,1.56,0
W00310,S001,2024-11-05,12.62,7.2,2.21,2.37
W00311,S001,2024-11-06,10.4,3.81,2.81,3.77
W00312,S001,2024-11-07,-1.37,7.09,1.19,12.33
W00313,S001,2024-11-08,8.19,8.98,2.74,4.95
W00314,S001,2024-11-09,2.23,8.83,1.68,4.88
W00315,S001,2024-11-10,14.61,5.84,1.91,1.86
W00316,S001,2024-11-11,8.98,6.81,3.34,1.97
W00317,S001,2024-11-12,5.52,12.14,2.47,0
W00318,S001,2024-11-13,-2.86,4.95,1.05,4.48
W00319,S001,2024-11-14,9.86,7.3,1.01,3.68
W00320,S001,2024-11-15,6.25,8.1,1.93,10.13
W00321,S001,2024-11-16,11.12,7.17,1.92,4.74
W00322,S001,2024-11-17,10.51,7.7,3.46,0
W00323,S001,2024-11-18,-1.41,11.03,2.65,0
W00324,S001,2024-11-19,6.81,8.65,2.09,4.73
W00325,S001,2024-11-20,-2.42,7.84,3.21,0
W00326,S001,2024-11-21,7.31,10.2,2.35,4.79
W00327,S001,2024-11-22,-5.34,6.9,1.49,6.02
W00328,S001,2024-11-23,3.76,5.3,2.25,13.98
W00329,S001,2024-11-24,6.16,14.18,2.55,2.6
W00330,S001,2024-11-25,-4.32,11.83,1.12,6.4
W00331,S001,2024-11-26,12.73,9.47,1.83,3.76
W00332,S001,2024-11-27,10.57,8.5,0.98,2.28
W00333,S001,2024-11-28,13.21,7.35,3.25,0
W00334,S001,2024-11-29,5.31,7.72,1.36,1.33
W00335,S001,2024-11-30,1.95,9.33,3.78,0.16
W00336,S001,2024-12-01,0.88,9.71,3.31,1.05
W00337,S001,2024-12-02,-8.0,11.08,3.27,4.19
W00338,S001,2024-12-03,7.2,7.28,0.87,1.37
W00339,S001,2024-12-04,10.21,8.61,2.72,2.05
W00340,S001,2024-12-05,10.45,8.47,2.51,5.24
W00341,S001,2024-12-06,14.89,9.63,2.34,1.57
W00342,S001,2024-12-07,3.57,11.62,1.01,3.46
W00343,S001,2024-12-08,0.36,12.19,1.9,0.27
W00344,S001,2024-12-09,9.21,10.18,2.87,0.64
W00345,S001,2024-12-10,10.95,9.64,1.33,0.04
W00346,S001,2024-12-11,7.96,10.96,3.57,3.28
W00347,S001,2024-12-12,0.53,10.45,2.66,9.57
W00348,S001,2024-12-13,-0.94,4.81,2.1,0.53
W00349,S001,2024-12-14,12.6,10.39,3.23,6.41
W00350,S001,2024-12-15,9.77,9.22,3.58,0.44
W00351,S001,2024-12-16,8.39,5.76,1.58,1.03
W00352,S001,2024-12-17,13.2,7.27,3.67,4.9
W00353,S001,2024-12-18,4.82,8.15,1.56,5.55
W00354,S001,2024-12-19,6.99,9.52,1.85,4.27
W00355,S001,2024-12-20,2.77,11.76,1.96,15.62
W00356,S001,2024-12-21,12.51,8.92,2.15,0
W00357,S001,2024-12-22,5.72,12.33,2.18,1.28
W00358,S001,2024-12-23,-4.27,9.73,1.29,3.71
W00359,S001,2024-12-24,7.68,11.0,2.75,0
W00360,S001,2024-12-25,8.98,5.16,2.03,3.65
W00361,S001,2024-12-26,5.03,12.89,2.58,3.56
W00362,S001,2024-12-27,6.16,5.71,2.75,8.0
W00363,S001,2024-12-28,1.87,6.51,2.12,0
W00364,S001,2024-12-29,7.77,9.44,2.68,2.08
W00365,S001,2024-12-30,3.89,8.82,1.37,6.35
W00366,S001,2024-12-31,6.3,11.65,2.14,0
W00367,S002,2024-01-01,4.19,7.76,1.4,1.67
W00368,S002,2024-01-02,-3.55,4.16,0.18,0.84
W00369,S002,2024-01-03,5.11,8.38,2.56,2.07
W00370,S002,2024-01-04,8.94,3.32,1.79,0
W00371,S002,2024-01-05,8.06,2.77,3.24,0
W00372,S002,2024-01-06,3.93,7.55,2.56,0.22
W00373,S002,2024-01-07,-4.18,2.06,1.24,2.21
W00374,S002,2024-01-08,3.35,5.4,2.6,4.49
W00375,S002,2024-01-09,7.7,5.39,2.84,0.43
W00376,S002,2024-01-10,8.95,7.65,2.4,3.9
W00377,S002,2024-01-11,7.79,5.31,1.19,10.45
W00378,S002,2024-01-12,12.35,6.85,2.58,8.03
W00379,S002,2024-01-13,11.87,7.18,1.29,0
W00380,S002,2024-01-14,10.95,5.31,1.11,6.79
W00381,S002,2024-01-15,6.56,4.15,2.27,0
W00382,S002,2024-01-16,12.01,3.36,2.59,0.53
W00383,S002,2024-01-17,-4.07,4.88,0.94,1.75
W00384,S002,2024-01-18,7.45,1.52,3.22,6.56
W00385,S002,2024-01-19,11.36,7.07,3.59,3.34
W00386,S002,2024-01-20,2.17,7.07,1.82,1.71
W00387,S002,2024-01-21,4.55,7.14,3.3,0.85
W00388,S002,2024-01-22,13.08,1,1.73,0.91
W00389,S002,2024-01-23,6.04,9.38,2.65,10.21
W00390,S002,2024-01-24,3.97,3.46,3.26,0
W00391,S002,2024-01-25,2.15,3.85,3.66,1.89
W00392,S002,2024-01-26,5.92,6.53,3.21,2.7
W00393,S002,2024-01-27,10.07,6.43,1.64,7.14
W00394,S002,2024-01-28,4.02,6.62,0.41,3.46
W00395,S002,2024-01-29,3.75,3.85,1.95,0
W00396,S002,2024-01-30,9.74,4.34,1.78,2.04
W00397,S002,2024-01-31,10.3,5.13,1.27,4.43
W00398,S002,2024-02-01,13.62,9.23,2.36,0
W00399,S002,2024-02-02,-0.04,4.76,2.31,4.61
W00400,S002,2024-02-03,7.27,5.04,3.0,4.12
W00401,S002,2024-02-04,3.15,6.81,1.88,4.06
W00402,S002,2024-02-05,2.29,3.69,0.49,5.94
W00403,S002,2024-02-06,17.65,4.44,1.71,0
W00404,S002,2024-02-07,1.41,4.97,2.28,3.23
W00405,S002,2024-02-08,5.29,3.49,1.71,3.83
W00406,S002,2024-02-09,-8.15,5.9,2.53,4.07
W00407,S002,2024-02-10,6.71,6.16,2.12,3.43
W00408,S002,2024-02-11,8.7,3.86,2.53,1.41
W00409,S002,2024-02-12,5.69,4.01,1.73,6.24
W00410,S002,2024-02-13,4.45,5.08,2.3,0
W00411,S002,2024-02-14,8.74,5.07,1.85,0
W00412,S002,2024-02-15,10.38,4.47,2.43,10.28
W00413,S002,2024-02-16,5.86,5.35,1.37,0
W00414,S002,2024-02-17,-0.35,6.2,2.79,2.41
W00415,S002,2024-02-18,13.07,2.42,3.04,0.71
W00416,S002,2024-02-19,7.07,3.13,2.1,0
W00417,S002,2024-02-20,12.91,7.0,2.73,0
W00418,S002,2024-02-21,11.12,5.15,1.16,0
W00419,S002,2024-02-22,6.27,7.93,0.65,8.96
W00420,S002,2024-02-23,8.94,4.25,2.11,2.44
W00421,S002,2024-02-24,5.14,3.61,1.65,0
W00422,S002,2024-02-25,11.55,5.73,1.27,0.45
W00423,S002,2024-02-26,4.03,4.76,2.24,0.01
W00424,S002,2024-02-27,1.81,6.5,2.25,9.3
W00425,S002,2024-02-28,6.59,1.32,0.45,4.01
W00426,S002,2024-02-29,16.91,4.03,3.31,1.83
W00427,S002,2024-03-01,19.66,8.74,3.46,5.13
W00428,S002,2024-03-02,10.28,6.28,4.43,0
W00429,S002,2024-03-03,20.88,3.17,4.92,0
W00430,S002,2024-03-04,15.22,2.37,4.91,0.74
W00431,S002,2024-03-05,14.87,7.19,3.06,7.99
W00432,S002,2024-03-06,11.99,6.29,4.92,5.31
W00433,S002,2024-03-07,13.58,7.04,2.44,4.7
W00434,S002,2024-03-08,17.81,5.78,3.04,5.44
W00435,S002,2024-03-09,11.07,5.75,4.9,3.71
W00436,S002,2024-03-10,20.61,4.95,2.79,0
W00437,S002,2024-03-11,18.48,3.92,3.32,2.95
W00438,S002,2024-03-12,10.74,1.87,4.48,1.1
W00439,S002,2024-03-13,21.37,4.92,3.14,5.88
W00440,S002,2024-03-14,16.48,5.53,3.08,0.05
W00441,S002,2024-03-15,19.92,4.65,3.0,0
W00442,S002,2024-03-16,12.83,2.97,2.54,4.82
W00443,S002,2024-03-17,16.61,5.06,4.08,5.12
W00444,S002,2024-03-18,13.77,4.67,3.91,0
W00445,S002,2024-03-19,16.42,6.65,4.88,0
W00446,S002,2024-03-20,14.84,4.88,4.15,5.46
W00447,S002,2024-03-21,12.99,5.26,2.93,0
W00448,S002,2024-03-22,25.82,1,3.87,3.03
W00449,S002,2024-03-23,7.59,4.79,5.16,4.11
W00450,S002,2024-03-24,21.88,5.52,3.58,3.94
W00451,S002,2024-03-25,15.31,3.82,2.07,10.7
W00452,S002,2024-03-26,16.82,6.8,2.82,0.23
W00453,S002,2024-03-27,11.24,5.24,3.71,0
W00454,S002,2024-03-28,13.36,5.74,1.05,0.02
W00455,S002,2024-03-29,19.71,4.41,3.21,0
W00456,S002,2024-03-30,9.07,5.94,4.88,6.14
W00457,S002,2024-03-31,26.69,3.37,4.17,2.84
W00458,S002,2024-04-01,15.53,2.85,2.5,2.11
W00459,S002,2024-04-02,12.16,2.72,4.36,1.84
W00460,S002,2024-04-03,19.31,5.95,1.36,3.31
W00461,S002,2024-04-04,8.64,4.56,3.15,3.1
W00462,S002,2024-04-05,13.02,4.52,3.64,0
W00463,S002,2024-04-06,12.2,3.87,2.89,3.4
W00464,S002,2024-04-07,17.36,6.03,4.3,5.59
W00465,S002,2024-04-08,17.53,4.63,3.19,2.79
W00466,S002,2024-04-09,12.06,2.82,3.56,0
W00467,S002,2024-04-10,14.48,5.42,3.67,2.75
W00468,S002,2024-04-11,18.5,6.05,3.81,3.31
W00469,S002,2024-04-12,16.36,6.43,4.1,7.11
W00470,S002,2024-04-13,13.55,7.04,4.07,0
