maintenance_id,asset_id,site_id,maintenance_date,maintenance_type,issue_category,downtime_hours,maintenance_cost
M00086,A00306,S003,2024-06-14,Inspection,Blade Inspection,8,4148.61
M00087,A00302,S003,2024-06-19,Corrective,Blade Inspection,8,6229.3
M00088,A00303,S003,2024-07-02,Inspection,Software,4,3532.53
M00089,A00301,S003,2024-07-03,Preventive,Panel Cleaning,4,4533.09
M00090,A00301,S003,2024-07-12,Preventive,Mechanical,8,3524.88
M00091,A00302,S003,2024-07-16,Inspection,Electrical,8,639.06
M00092,A00307,S003,2024-07-18,Corrective,Electrical,2,3794.65
M00093,A00304,S003,2024-07-21,Inspection,Electrical,8,1007.05
M00094,A00305,S003,2024-08-02,Corrective,Mechanical,12,7238.73
M00095,A00308,S003,2024-08-13,Corrective,Blade Inspection,2,3793.54
M00096,A00306,S003,2024-08-14,Corrective,Panel Cleaning,12,2378.16
M00097,A00301,S003,2024-08-23,Preventive,Electrical,4,6597.02
M00098,A00307,S003,2024-08-25,Preventive,Mechanical,12,967.16
M00099,A00306,S003,2024-09-10,Inspection,Electrical,8,3850.67
M00100,A00307,S003,2024-09-17,Corrective,Mechanical,12,7768.03
M00101,A00306,S003,2024-09-28,Corrective,Panel Cleaning,12,3406.37
M00102,A00305,S003,2024-09-30,Inspection,Software,2,3438.86
M00103,A00302,S003,2024-10-06,Inspection,Software,6,6235.32
M00104,A00304,S003,2024-10-26,Preventive,Electrical,8,1473.69
M00105,A00303,S003,2024-10-27,Preventive,Blade Inspection,4,6671.14
M00106,A00302,S003,2024-11-03,Preventive,Electrical,8,1245.55
M00107,A00302,S003,2024-11-15,Preventive,Software,8,2448.62
M00108,A00308,S003,2024-11-18,Preventive,Mechanical,12,968.91
M00109,A00301,S003,2024-12-09,Corrective,Mechanical,12,3767.99
M00110,A00306,S003,2024-12-14,Corrective,Panel Cleaning,4,7602.86
M00111,A00406,S004,2024-01-12,Preventive,Electrical,4,2144.38
M00112,A00410,S004,2024-01-28,Preventive,Electrical,12,1390.1
M00113,A00405,S004,2024-02-09,Preventive,Blade Inspection,2,5411.72
M00114,A00403,S004,2024-02-10,Preventive,Software,6,2770.53
M00115,A00409,S004,2024-02-29,Corrective,Mechanical,6,2102.57
M00116,A00402,S004,2024-03-18,Preventive,Blade Inspection,4,557.97
M00117,A00407,S004,2024-04-23,Preventive,Blade Inspection,6,606.97
M00118,A00406,S004,2024-05-07,Inspection,Software,12,5577.72
M00119,A00410,S004,2024-05-09,Preventive,Software,2,855.8
M00120,A00410,S004,2024-05-26,Preventive,Mechanical,2,2087.96
M00121,A00410,S004,2024-05-29,Corrective,Panel Cleaning,8,6978.93
M00122,A00406,S004,2024-06-04,Corrective,Blade Inspection,8,5603.29
M00123,A00410,S004,2024-06-30,Preventive,Panel Cleaning,12,1392.25
M00124,A00401,S004,2024-07-09,Inspection,Electrical,12,3943.34
M00125,A00408,S004,2024-08-01,Corrective,Software,12,5345.93
M00126,A00407,S004,2024-08-06,Preventive,Electrical,8,4302.59
M00127,A00402,S004,2024-08-31,Preventive,Software,12,2543.38
M00128,A00409,S004,2024-09-15,Inspection,Mechanical,6,7462.28
M00129,A00409,S004,2024-09-18,Corrective,Panel Cleaning,8,1954.96
M00130,A00405,S004,2024-10-03,Corrective,Blade Inspection,8,6859.83
M00131,A00409,S004,2024-10-04,Inspection,Blade Inspection,4,2450.52
M00132,A00406,S004,2024-10-17,Corrective,Mechanical,8,5507.12
M00133,A00401,S004,2024-10-24,Corrective,Panel Cleaning,8,4320.04
M00134,A00401,S004,2024-10-28,Corrective,Electrical,4,1967.82
M00135,A00401,S004,2024-11-04,Corrective,Blade Inspection,4,4727.51
M00136,A00401,S004,2024-11-14,Inspection,Blade Inspection,6,4969.75
M00137,A00402,S004,2024-11-18,Preventive,Electrical,2,5628.83
M00138,A00404,S004,2024-11-19,Preventive,Software,12,1398.67
M00139,A00408,S004,2024-11-26,Inspection,Software,6,5734.82
M00140,A00408,S004,2024-11-29,Inspection,Panel Cleaning,4,7646.48
M00141,A00404,S004,2024-11-30,Inspection,Panel Cleaning,12,4453.22
M00142,A00404,S004,2024-12-18,Inspection,Panel Cleaning,6,7891.52
M00143,A00407,S004,2024-12-31,Preventive,Software,6,4446.29
M00144,A00505,S005,2024-01-08,Inspection,Software,4,7473.73
M00145,A00501,S005,2024-01-24,Corrective,Mechanical,2,5425.96
M00146,A00501,S005,2024-01-25,Inspection,Panel Cleaning,6,6863.4
M00147,A00503,S005,2024-01-29,Inspection,Blade Inspection,2,2631.87
M00148,A00501,S005,2024-02-08,Preventive,Blade Inspection,2,4542.25
M00149,A00505,S005,2024-02-22,Preventive,Electrical,8,800.5
M00150,A00501,S005,2024-03-11,Preventive,Blade Inspection,4,891.2
M00151,A00502,S005,2024-03-15,Corrective,Blade Inspection,2,3909.43
M00152,A00501,S005,2024-03-19,Inspection,Panel Cleaning,8,731.35
M00153,A00506,S005,2024-03-25,Inspection,Mechanical,4,4455.94
M00154,A00503,S005,2024-03-27,Inspection,Mechanical,2,5429.13
M00155,A00501,S005,2024-03-31,Corrective,Software,6,7451.66
M00156,A00503,S005,2024-04-05,Corrective,Mechanical,12,5948.27
M00157,A00504,S005,2024-04-06,Inspection,Electrical,12,5105.54
M00158,A00508,S005,2024-04-10,Corrective,Software,2,5531.01
M00159,A00504,S005,2024-04-11,Inspection,Mechanical,12,4679.83
M00160,A00501,S005,2024-04-15,Corrective,Blade Inspection,6,778.26
M00161,A00506,S005,2024-04-16,Preventive,Mechanical,2,6899.68
M00162,A00503,S005,2024-05-02,Inspection,Mechanical,4,5769.34
M00163,A00501,S005,2024-05-05,Inspection,Mechanical,12,1988.85
M00164,A00506,S005,2024-05-24,Inspection,Software,8,4109.93
M00165,A00505,S005,2024-06-07,Preventive,Mechanical,12,5888.94
M00166,A00506,S005,2024-06-09,Preventive,Blade Inspection,12,5178.39
M00167,A00503,S005,2024-06-17,Preventive,Blade Inspection,8,5396.34
M00168,A00504,S005,2024-06-21,Corrective,Blade Inspection,8,4243.56
M00169,A00508,S005,2024-06-22,Inspection,Electrical,2,2930.87
M00170,A00505,S005,2024-06-28,Preventive,Electrical,6,4143.33
M00171,A00502,S005,2024-07-06,Inspection,Blade Inspection,2,1407.6
M00172,A00501,S005,2024-07-21,Inspection,Panel Cleaning,4,4383.62
M00173,A00508,S005,2024-07-28,Inspection,Electrical,12,6463.01
M00174,A00502,S005,2024-08-12,Preventive,Blade Inspection,2,4012.68
M00175,A00502,S005,2024-08-21,Inspection,Electrical,4,5262.47
M00176,A00506,S005,2024-08-29,Preventive,Blade Inspection,6,548.27
M00177,A00502,S005,2024-09-13,Preventive,Electrical,6,4758.9
M00178,A00507,S005,2024-09-28,Corrective,Panel Cleaning,2,6427.34
M00179,A00504,S005,2024-10-14,Preventive,Electrical,6,5241.66
M00180,A00505,S005,2024-10-14,Preventive,Mechanical,2,5789.48
M00181,A00505,S005,2024-10-23,Corrective,Blade Inspection,12,2803.87
M00182,A00508,S005,2024-11-06,Corrective,Panel Cleaning,6,2116.8
M00183,A00506,S005,2024-11-10,Corrective,Mechanical,8,2192.69
M00184,A00505,S005,2024-11-12,Corrective,Blade Inspection,8,4745.56
M00185,A00506,S005,2024-11-17,Inspection,Panel Cleaning,8,5108.51
M00186,A00506,S005,2024-12-02,Preventive,Panel Cleaning,12,7324.29
M00187,A00507,S005,2024-12-08,Corrective,Software,4,7001.89
M00188,A00508,S005,2024-12-08,Inspection,Panel Cleaning,12,4510.48
M00189,A00508,S005,2024-12-12,Inspection,Software,12,2047.29
M00190,A00508,S005,2024-12-16,Corrective,Electrical,4,6257.95
