price_id,price_date,region,market_price_per_mwh
P00060,2024-01-20,Wales,79.11
P00061,2024-01-21,Scotland,82.56
P00062,2024-01-21,England,93.53
P00063,2024-01-21,Wales,89.82
P00064,2024-01-22,Scotland,83.56
P00065,2024-01-22,England,80.56
P00066,2024-01-22,Wales,78.77
P00067,2024-01-23,Scotland,78.99
P00068,2024-01-23,England,76.55
P00069,2024-01-23,Wales,83.79
P00070,2024-01-24,Scotland,77.57
P00071,2024-01-24,England,85.1
P00072,2024-01-24,Wales,89.32
P00073,2024-01-25,Scotland,69.46
P00074,2024-01-25,England,91.64
P00075,2024-01-25,Wales,83.45
P00076,2024-01-26,Scotland,69.64
P00077,2024-01-26,England,93.66
P00078,2024-01-26,Wales,87.62
P00079,2024-01-27,Scotland,70.95
P00080,2024-01-27,England,79.17
P00081,2024-01-27,Wales,80.48
P00082,2024-01-28,Scotland,71.78
P00083,2024-01-28,England,78.95
P00084,2024-01-28,Wales,78.49
P00085,2024-01-29,Scotland,91.61
P00086,2024-01-29,England,76.04
P00087,2024-01-29,Wales,87.82
P00088,2024-01-30,Scotland,91.11
P00089,2024-01-30,England,76.64
P00090,2024-01-30,Wales,83.61
P00091,2024-01-31,Scotland,82.6
P00092,2024-01-31,England,74.4
P00093,2024-01-31,Wales,68.52
P00094,2024-02-01,Scotland,88.35
P00095,2024-02-01,England,80.38
P00096,2024-02-01,Wales,76.97
P00097,2024-02-02,Scotland,81.0
P00098,2024-02-02,England,97.35
P00099,2024-02-02,Wales,90.37
P00100,2024-02-03,Scotland,72.45
P00101,2024-02-03,England,74.06
P00102,2024-02-03,Wales,76.54
P00103,2024-02-04,Scotland,93.02
P00104,2024-02-04,England,95.2
P00105,2024-02-04,Wales,73.7
P00106,2024-02-05,Scotland,86.81
P00107,2024-02-05,England,93.72
P00108,2024-02-05,Wales,87.15
P00109,2024-02-06,Scotland,85.87
P00110,2024-02-06,England,87.14
P00111,2024-02-06,Wales,71.13
P00112,2024-02-07,Scotland,73.88
P00113,2024-02-07,England,75.58
P00114,2024-02-07,Wales,85.86
P00115,2024-02-08,Scotland,69.65
P00116,2024-02-08,England,82.47
P00117,2024-02-08,Wales,67.35
P00118,2024-02-09,Scotland,80.87
P00119,2024-02-09,England,98.82
P00120,2024-02-09,Wales,80.34
P00121,2024-02-10,Scotland,69.54
P00122,2024-02-10,England,87.71
P00123,2024-02-10,Wales,88.99
P00124,2024-02-11,Scotland,69.85
P00125,2024-02-11,England,75.83
P00126,2024-02-11,Wales,89.27
P00127,2024-02-12,Scotland,78.9
P00128,2024-02-12,England,99.42
P00129,2024-02-12,Wales,81.38
P00130,2024-02-13,Scotland,83.63
P00131,2024-02-13,England,75.07
P00132,2024-02-13,Wales,68.21
P00133,2024-02-14,Scotland,85.75
P00134,2024-02-14,England,89.26
P00135,2024-02-14,Wales,74.54
P00136,2024-02-15,Scotland,75.04
P00137,2024-02-15,England,92.08
P00138,2024-02-15,Wales,74.48
P00139,2024-02-16,Scotland,75.17
P00140,2024-02-16,England,77.53
P00141,2024-02-16,Wales,83.43
P00142,2024-02-17,Scotland,80.35
P00143,2024-02-17,England,99.08
P00144,2024-02-17,Wales,91.26
P00145,2024-02-18,Scotland,68.25
P00146,2024-02-18,England,90.77
P00147,2024-02-18,Wales,81.2
P00148,2024-02-19,Scotland,70.7
P00149,2024-02-19,England,88.52
P00150,2024-02-19,Wales,79.66
P00151,2024-02-20,Scotland,71.58
P00152,2024-02-20,England,83.42
P00153,2024-02-20,Wales,67.86
P00154,2024-02-21,Scotland,74.6
P00155,2024-02-21,England,81.69
P00156,2024-02-21,Wales,77.83
P00157,2024-02-22,Scotland,82.67
P00158,2024-02-22,England,82.17
P00159,2024-02-22,Wales,92.56
P00160,2024-02-23,Scotland,89.79
P00161,2024-02-23,England,88.28
P00162,2024-02-23,Wales,84.03
P00163,2024-02-24,Scotland,82.97
P00164,2024-02-24,England,99.16
P00165,2024-02-24,Wales,68.8
P00166,2024-02-25,Scotland,91.71
P00167,2024-02-25,England,81.14
P00168,2024-02-25,Wales,90.02
P00169,2024-02-26,Scotland,88.05
P00170,2024-02-26,England,78.2
P00171,2024-02-26,Wales,73.61
P00172,2024-02-27,Scotland,73.69
P00173,2024-02-27,England,83.26
P00174,2024-02-27,Wales,84.56
P00175,2024-02-28,Scotland,91.03
P00176,2024-02-28,England,87.65
P00177,2024-02-28,Wales,72.78
P00178,2024-02-29,Scotland,92.52
P00179,2024-02-29,England,75.37
P00180,2024-02-29,Wales,83.13
P00181,2024-03-01,Scotland,84.39
P00182,2024-03-01,England,69.19
P00183,2024-03-01,Wales,69.01
P00184,2024-03-02,Scotland,65.53
P00185,2024-03-02,England,94.45
P00186,2024-03-02,Wales,64.36
P00187,2024-03-03,Scotland,73.93
P00188,2024-03-03,England,87.05
P00189,2024-03-03,Wales,75.14
P00190,2024-03-04,Scotland,65.02
P00191,2024-03-04,England,93.52
P00192,2024-03-04,Wales,78.66
P00193,2024-03-05,Scotland,66.02
P00194,2024-03-05,England,68.97
P00195,2024-03-05,Wales,69.97
P00196,2024-03-06,Scotland,76.92
P00197,2024-03-06,England,79.6
P00198,2024-03-06,Wales,61.13
P00199,2024-03-07,Scotland,71.85
P00200,2024-03-07,England,93.19
P00201,2024-03-07,Wales,86.25
P00202,2024-03-08,Scotland,63.08
P00203,2024-03-08,England,77.66
P00204,2024-03-08,Wales,78.42
P00205,2024-03-09,Scotland,80.01
P00206,2024-03-09,England,77.55
P00207,2024-03-09,Wales,75.12
P00208,2024-03-10,Scotland,85.62
P00209,2024-03-10,England,94.29
P00210,2024-03-10,Wales,80.24
P00211,2024-03-11,Scotland,87.0
P00212,2024-03-11,England,74.39
P00213,2024-03-11,Wales,64.39
P00214,2024-03-12,Scotland,83.6
P00215,2024-03-12,England,72.78
P00216,2024-03-12,Wales,71.13
P00217,2024-03-13,Scotland,66.84
P00218,2024-03-13,England,92.96
P00219,2024-03-13,Wales,81.12
P00220,2024-03-14,Scotland,73.12
P00221,2024-03-14,England,86.09
P00222,2024-03-14,Wales,79.85
P00223,2024-03-15,Scotland,68.7
P00224,2024-03-15,England,72.3
P00225,2024-03-15,Wales,78.93
P00226,2024-03-16,Scotland,72.33
P00227,2024-03-16,England,69.05
P00228,2024-03-16,Wales,72.71
P00229,2024-03-17,Scotland,67.39
P00230,2024-03-17,England,92.8
P00231,2024-03-17,Wales,69.44
P00232,2024-03-18,Scotland,84.15
P00233,2024-03-18,England,91.53
P00234,2024-03-18,Wales,66.02
P00235,2024-03-19,Scotland,79.82
P00236,2024-03-19,England,78.76
P00237,2024-03-19,Wales,67.52
P00238,2024-03-20,Scotland,63.87
P00239,2024-03-20,England,88.88
P00240,2024-03-20,Wales,69.48
P00241,2024-03-21,Scotland,75.75
P00242,2024-03-21,England,86.35
P00243,2024-03-21,Wales,82.78
P00244,2024-03-22,Scotland,70.94
P00245,2024-03-22,England,68.75
P00246,2024-03-22,Wales,83.68
P00247,2024-03-23,Scotland,69.05
P00248,2024-03-23,England,83.68
P00249,2024-03-23,Wales,86.56
P00250,2024-03-24,Scotland,63.03
P00251,2024-03-24,England,84.11
P00252,2024-03-24,Wales,69.33
P00253,2024-03-25,Scotland,83.23
P00254,2024-03-25,England,79.78
P00255,2024-03-25,Wales,86.57
P00256,2024-03-26,Scotland,65.12
P00257,2024-03-26,England,92.29
P00258,2024-03-26,Wales,65.13
P00259,2024-03-27,Scotland,63.2
P00260,2024-03-27,England,79.77
P00261,2024-03-27,Wales,74.04
P00262,2024-03-28,Scotland,83.78
P00263,2024-03-28,England,86.55
P00264,2024-03-28,Wales,85.39
P00265,2024-03-29,Scotland,81.9
P00266,2024-03-29,England,73.32
P00267,2024-03-29,Wales,71.65
P00268,2024-03-30,Scotland,87.62
P00269,2024-03-30,England,92.86
P00270,2024-03-30,Wales,76.83
P00271,2024-03-31,Scotland,79.91
P00272,2024-03-31,England,71.36
P00273,2024-03-31,Wales,84.3
P00274,2024-04-01,Scotland,75.69
P00275,2024-04-01,England,86.01
P00276,2024-04-01,Wales,68.81
P00277,2024-04-02,Scotland,80.82
P00278,2024-04-02,England,82.97
P00279,2024-04-02,Wales,65.18
P00280,2024-04-03,Scotland,79.95
P00281,2024-04-03,England,78.24
P00282,2024-04-03,Wales,80.2
P00283,2024-04-04,Scotland,66.7
P00284,2024-04-04,England,83.37
P00285,2024-04-04,Wales,70.96
P00286,2024-04-05,Scotland,84.51
P00287,2024-04-05,England,76.2
P00288,2024-04-05,Wales,65.67
P00289,2024-04-06,Scotland,83.22
P00290,2024-04-06,England,84.38
P00291,2024-04-06,Wales,68.7
P00292,2024-04-07,Scotland,73.93
P00293,2024-04-07,England,86.24
P00294,2024-04-07,Wales,73.8
P00295,2024-04-08,Scotland,83.43
P00296,2024-04-08,England,93.92
P00297,2024-04-08,Wales,79.87
P00298,2024-04-09,Scotland,79.79
P00299,2024-04-09,England,75.66
P00300,2024-04-09,Wales,77.92
P00301,2024-04-10,Scotland,78.72
P00302,2024-04-10,England,70.52
P00303,2024-04-10,Wales,85.7
P00304,2024-04-11,Scotland,68.34
P00305,2024-04-11,England,76.38
P00306,2024-04-11,Wales,81.78
P00307,2024-04-12,Scotland,65.98
P00308,2024-04-12,England,69.25
P00309,2024-04-12,Wales,86.57
P00310,2024-04-13,Scotland,78.5
P00311,2024-04-13,England,88.75
P00312,2024-04-13,Wales,72.3
P00313,2024-04-14,Scotland,85.93
P00314,2024-04-14,England,83.54
P00315,2024-04-14,Wales,79.4
P00316,2024-04-15,Scotland,72.37
P00317,2024-04-15,England,78.79
P00318,2024-04-15,Wales,63.98
P00319,2024-04-16,Scotland,80.57
P00320,2024-04-16,England,92.1
P00321,2024-04-16,Wales,83.23
P00322,2024-04-17,Scotland,85.91
P00323,2024-04-17,England,89.02
P00324,2024-04-17,Wales,65.91
P00325,2024-04-18,Scotland,83.71
P00326,2024-04-18,England,86.79
P00327,2024-04-18,Wales,72.54
P00328,2024-04-19,Scotland,77.05
P00329,2024-04-19,England,92.77
P00330,2024-04-19,Wales,63.28
P00331,2024-04-20,Scotland,65.6
P00332,2024-04-20,England,80.55
P00333,2024-04-20,Wales,74.34
P00334,2024-04-21,Scotland,77.09
P00335,2024-04-21,England,76.57
P00336,2024-04-21,Wales,80.39
P00337,2024-04-22,Scotland,73.95
P00338,2024-04-22,England,90.01
P00339,2024-04-22,Wales,84.08
P00340,2024-04-23,Scotland,73.52
P00341,2024-04-23,England,92.49
P00342,2024-04-23,Wales,72.04
P00343,2024-04-24,Scotland,66.3
P00344,2024-04-24,England,91.26
P00345,2024-04-24,Wales,72.15
P00346,2024-04-25,Scotland,82.3
P00347,2024-04-25,England,90.68
P00348,2024-04-25,Wales,67.49
P00349,2024-04-26,Scotland,83.0
P00350,2024-04-26,England,81.08
P00351,2024-04-26,Wales,66.46
P00352,2024-04-27,Scotland,73.88
P00353,2024-04-27,England,87.27
P00354,2024-04-27,Wales,66.33
P00355,2024-04-28,Scotland,71.07
P00356,2024-04-28,England,92.11
P00357,2024-04-28,Wales,62.18
P00358,2024-04-29,Scotland,66.07
P00359,2024-04-29,England,78.34
P00360,2024-04-29,Wales,64.13
P00361,2024-04-30,Scotland,67.78
P00362,2024-04-30,England,79.2
P00363,2024-04-30,Wales,68.93
P00364,2024-05-01,Scotland,69.58
P00365,2024-05-01,England,64.68
P00366,2024-05-01,Wales,77.49
P00367,2024-05-02,Scotland,67.52
P00368,2024-05-02,England,83.78
P00369,2024-05-02,Wales,80.54
P00370,2024-05-03,Scotland,57.53
P00371,2024-05-03,England,86.78
P00372,2024-05-03,Wales,70.54
P00373,2024-05-04,Scotland,69.88
P00374,2024-05-04,England,88.45
P00375,2024-05-04,Wales,63.06
P00376,2024-05-05,Scotland,67.53
P00377,2024-05-05,England,87.07
P00378,2024-05-05,Wales,77.56
P00379,2024-05-06,Scotland,71.53
P00380,2024-05-06,England,82.84
P00381,2024-05-06,Wales,76.6
P00382,2024-05-07,Scotland,81.24
P00383,2024-05-07,England,76.18
P00384,2024-05-07,Wales,62.37
P00385,2024-05-08,Scotland,70.11
P00386,2024-05-08,England,73.5
P00387,2024-05-08,Wales,73.06
P00388,2024-05-09,Scotland,78.55
P00389,2024-05-09,England,82.55
P00390,2024-05-09,Wales,77.69
P00391,2024-05-10,Scotland,81.83
P00392,2024-05-10,England,89.48
P00393,2024-05-10,Wales,69.42
P00394,2024-05-11,Scotland,81.49
P00395,2024-05-11,England,78.98
P00396,2024-05-11,Wales,72.9
P00397,2024-05-12,Scotland,59.27
P00398,2024-05-12,England,74.57
P00399,2024-05-12,Wales,78.4
P00400,2024-05-13,Scotland,61.91
P00401,2024-05-13,England,70.02
P00402,2024-05-13,Wales,63.84
P00403,2024-05-14,Scotland,69.28
P00404,2024-05-14,England,72.11
P00405,2024-05-14,Wales,78.75
P00406,2024-05-15,Scotland,64.51
P00407,2024-05-15,England,88.68
P00408,2024-05-15,Wales,66.38
P00409,2024-05-16,Scotland,79.54
P00410,2024-05-16,England,75.7
P00411,2024-05-16,Wales,75.22
P00412,2024-05-17,Scotland,58.41
P00413,2024-05-17,England,88.7
P00414,2024-05-17,Wales,61.05
P00415,2024-05-18,Scotland,58.85
P00416,2024-05-18,England,88.85
P00417,2024-05-18,Wales,56.09
P00418,2024-05-19,Scotland,57.84
P00419,2024-05-19,England,69.68
P00420,2024-05-19,Wales,77.66
P00421,2024-05-20,Scotland,73.78
P00422,2024-05-20,England,69.44
P00423,2024-05-20,Wales,67.79
P00424,2024-05-21,Scotland,60.09
P00425,2024-05-21,England,88.59
P00426,2024-05-21,Wales,67.56
P00427,2024-05-22,Scotland,63.92
P00428,2024-05-22,England,72.96
P00429,2024-05-22,Wales,71.36
P00430,2024-05-23,Scotland,83.02
P00431,2024-05-23,England,82.4
P00432,2024-05-23,Wales,76.0
P00433,2024-05-24,Scotland,61.42
P00434,2024-05-24,England,71.4
P00435,2024-05-24,Wales,70.62
P00436,2024-05-25,Scotland,82.08
P00437,2024-05-25,England,78.55
P00438,2024-05-25,Wales,79.52
P00439,2024-05-26,Scotland,67.13
P00440,2024-05-26,England,88.42
P00441,2024-05-26,Wales,60.35
P00442,2024-05-27,Scotland,72.99
P00443,2024-05-27,England,85.43
P00444,2024-05-27,Wales,61.56
P00445,2024-05-28,Scotland,75.82
P00446,2024-05-28,England,71.14
P00447,2024-05-28,Wales,73.47
P00448,2024-05-29,Scotland,78.75
P00449,2024-05-29,England,84.5
P00450,2024-05-29,Wales,70.28
P00451,2024-05-30,Scotland,58.11
P00452,2024-05-30,England,77.38
P00453,2024-05-30,Wales,72.86
P00454,2024-05-31,Scotland,58.86
P00455,2024-05-31,England,80.48
P00456,2024-05-31,Wales,55.34
P00457,2024-06-01,Scotland,68.34
P00458,2024-06-01,England,76.24
P00459,2024-06-01,Wales,66.71
P00460,2024-06-02,Scotland,66.78
P00461,2024-06-02,England,87.07
P00462,2024-06-02,Wales,67.41
P00463,2024-06-03,Scotland,61.13
P00464,2024-06-03,England,67.76
P00465,2024-06-03,Wales,69.09
P00466,2024-06-04,Scotland,74.56
P00467,2024-06-04,England,79.63
P00468,2024-06-04,Wales,79.83
P00469,2024-06-05,Scotland,77.92
P00470,2024-06-05,England,75.55
P00471,2024-06-05,Wales,77.29
P00472,2024-06-06,Scotland,73.0
P00473,2024-06-06,England,71.7
P00474,2024-06-06,Wales,61.63
P00475,2024-06-07,Scotland,82.23
P00476,2024-06-07,England,70.53
P00477,2024-06-07,Wales,67.17
P00478,2024-06-08,Scotland,77.26
P00479,2024-06-08,England,78.39
P00480,2024-06-08,Wales,73.04
P00481,2024-06-09,Scotland,66.08
P00482,2024-06-09,England,76.35
P00483,2024-06-09,Wales,63.78
P00484,2024-06-10,Scotland,70.16
P00485,2024-06-10,England,72.58
P00486,2024-06-10,Wales,61.98
P00487,2024-06-11,Scotland,64.55
P00488,2024-06-11,England,79.1
P00489,2024-06-11,Wales,78.76
P00490,2024-06-12,Scotland,72.01
P00491,2024-06-12,England,76.95
P00492,2024-06-12,Wales,60.16
P00493,2024-06-13,Scotland,63.52
P00494,2024-06-13,England,73.97
P00495,2024-06-13,Wales,69.99
P00496,2024-06-14,Scotland,63.49
P00497,2024-06-14,England,75.85
P00498,2024-06-14,Wales,74.22
P00499,2024-06-15,Scotland,69.1
P00500,2024-06-15,England,63.47
P00501,2024-06-15,Wales,62.94
P00502,2024-06-16,Scotland,67.92
P00503,2024-06-16,England,69.57
P00504,2024-06-16,Wales,72.93
P00505,2024-06-17,Scotland,66.96
P00506,2024-06-17,England,77.94
P00507,2024-06-17,Wales,64.28
P00508,2024-06-18,Scotland,83.91
P00509,2024-06-18,England,77.86
P00510,2024-06-18,Wales,64.5
P00511,2024-06-19,Scotland,69.25
P00512,2024-06-19,England,71.28
P00513,2024-06-19,Wales,61.22
P00514,2024-06-20,Scotland,76.47
P00515,2024-06-20,England,71.52
P00516,2024-06-20,Wales,75.06
P00517,2024-06-21,Scotland,82.67
P00518,2024-06-21,England,81.63
P00519,2024-06-21,Wales,60.17
P00520,2024-06-22,Scotland,76.94
P00521,2024-06-22,England,70.47
P00522,2024-06-22,Wales,70.92
P00523,2024-06-23,Scotland,77.53
P00524,2024-06-23,England,79.11
P00525,2024-06-23,Wales,81.47
P00526,2024-06-24,Scotland,79.48
P00527,2024-06-24,England,71.0
P00528,2024-06-24,Wales,64.74
P00529,2024-06-25,Scotland,65.16
P00530,2024-06-25,England,82.12
P00531,2024-06-25,Wales,58.42
P00532,2024-06-26,Scotland,58.23
P00533,2024-06-26,England,64.47
P00534,2024-06-26,Wales,62.89
P00535,2024-06-27,Scotland,82.49
P00536,2024-06-27,England,80.22
P00537,2024-06-27,Wales,75.33
P00538,2024-06-28,Scotland,59.77
P00539,2024-06-28,England,63.33
P00540,2024-06-28,Wales,62.68
P00541,2024-06-29,Scotland,69.93
P00542,2024-06-29,England,72.2
P00543,2024-06-29,Wales,81.07
P00544,2024-06-30,Scotland,63.82
P00545,2024-06-30,England,86.27
P00546,2024-06-30,Wales,58.08
P00547,2024-07-01,Scotland,58.76
P00548,2024-07-01,England,76.28
P00549,2024-07-01,Wales,70.58
P00550,2024-07-02,Scotland,75.53
P00551,2024-07-02,England,67.1
P00552,2024-07-02,Wales,76.9
P00553,2024-07-03,Scotland,82.63
P00554,2024-07-03,England,65.3
P00555,2024-07-03,Wales,61.7
P00556,2024-07-04,Scotland,72.07
P00557,2024-07-04,England,74.24
P00558,2024-07-04,Wales,71.1
P00559,2024-07-05,Scotland,73.7
P00560,2024-07-05,England,83.94
P00561,2024-07-05,Wales,65.27
P00562,2024-07-06,Scotland,81.53
P00563,2024-07-06,England,71.03
P00564,2024-07-06,Wales,70.89
P00565,2024-07-07,Scotland,68.58
P00566,2024-07-07,England,78.35
P00567,2024-07-07,Wales,56.63
P00568,2024-07-08,Scotland,82.92
P00569,2024-07-08,England,65.68
P00570,2024-07-08,Wales,75.59
P00571,2024-07-09,Scotland,73.89
P00572,2024-07-09,England,70.15
P00573,2024-07-09,Wales,57.19
P00574,2024-07-10,Scotland,63.48
P00575,2024-07-10,England,77.9
P00576,2024-07-10,Wales,59.23
P00577,2024-07-11,Scotland,68.03
P00578,2024-07-11,England,81.61
P00579,2024-07-11,Wales,67.69
P00580,2024-07-12,Scotland,57.88
P00581,2024-07-12,England,70.78
P00582,2024-07-12,Wales,62.63
P00583,2024-07-13,Scotland,80.21
P00584,2024-07-13,England,64.92
P00585,2024-07-13,Wales,61.3
P00586,2024-07-14,Scotland,64.14
P00587,2024-07-14,England,84.36
P00588,2024-07-14,Wales,70.92
P00589,2024-07-15,Scotland,78.71
P00590,2024-07-15,England,68.34
P00591,2024-07-15,Wales,58.1
P00592,2024-07-16,Scotland,63.07
P00593,2024-07-16,England,67.02
P00594,2024-07-16,Wales,62.17
P00595,2024-07-17,Scotland,60.84
P00596,2024-07-17,England,64.61
P00597,2024-07-17,Wales,76.4
P00598,2024-07-18,Scotland,73.07
P00599,2024-07-18,England,85.25
P00600,2024-07-18,Wales,79.87
P00601,2024-07-19,Scotland,68.86
P00602,2024-07-19,England,75.65
P00603,2024-07-19,Wales,63.21
P00604,2024-07-20,Scotland,67.87
P00605,2024-07-20,England,70.35
P00606,2024-07-20,Wales,69.58
P00607,2024-07-21,Scotland,68.82
P00608,2024-07-21,England,79.15
P00609,2024-07-21,Wales,79.01
P00610,2024-07-22,Scotland,76.83
P00611,2024-07-22,England,79.3
P00612,2024-07-22,Wales,55.7
P00613,2024-07-23,Scotland,63.18
P00614,2024-07-23,England,81.21
P00615,2024-07-23,Wales,78.23
P00616,2024-07-24,Scotland,72.85
P00617,2024-07-24,England,63.56
P00618,2024-07-24,Wales,75.65
P00619,2024-07-25,Scotland,79.18
P00620,2024-07-25,England,78.56
P00621,2024-07-25,Wales,75.6
P00622,2024-07-26,Scotland,61.73
P00623,2024-07-26,England,77.01
P00624,2024-07-26,Wales,66.94
P00625,2024-07-27,Scotland,64.51
P00626,2024-07-27,England,89.92
P00627,2024-07-27,Wales,66.77
P00628,2024-07-28,Scotland,78.98
P00629,2024-07-28,England,89.16
P00630,2024-07-28,Wales,67.69
P00631,2024-07-29,Scotland,68.03
P00632,2024-07-29,England,71.67
P00633,2024-07-29,Wales,57.82
P00634,2024-07-30,Scotland,61.34
P00635,2024-07-30,England,74.11
P00636,2024-07-30,Wales,68.38
P00637,2024-07-31,Scotland,74.89
P00638,2024-07-31,England,73.81
P00639,2024-07-31,Wales,75.53
P00640,2024-08-01,Scotland,57.99
P00641,2024-08-01,England,65.38
P00642,2024-08-01,Wales,61.81
P00643,2024-08-02,Scotland,60.13
P00644,2024-08-02,England,83.86
P00645,2024-08-02,Wales,78.35
P00646,2024-08-03,Scotland,79.27
P00647,2024-08-03,England,63.03
P00648,2024-08-03,Wales,78.47
P00649,2024-08-04,Scotland,69.47
P00650,2024-08-04,England,64.46
P00651,2024-08-04,Wales,69.0
P00652,2024-08-05,Scotland,73.81
P00653,2024-08-05,England,76.46
P00654,2024-08-05,Wales,66.94
P00655,2024-08-06,Scotland,58.39
P00656,2024-08-06,England,70.21
P00657,2024-08-06,Wales,58.54
P00658,2024-08-07,Scotland,64.78
P00659,2024-08-07,England,86.78
P00660,2024-08-07,Wales,68.09
P00661,2024-08-08,Scotland,57.78
P00662,2024-08-08,England,80.01
P00663,2024-08-08,Wales,76.58
P00664,2024-08-09,Scotland,76.16
P00665,2024-08-09,England,71.39
P00666,2024-08-09,Wales,55.37
P00667,2024-08-10,Scotland,68.02
P00668,2024-08-10,England,69.07
P00669,2024-08-10,Wales,77.72
P00670,2024-08-11,Scotland,60.06
P00671,2024-08-11,England,88.57
P00672,2024-08-11,Wales,72.49
P00673,2024-08-12,Scotland,61.16
P00674,2024-08-12,England,88.18
P00675,2024-08-12,Wales,62.88
P00676,2024-08-13,Scotland,76.05
P00677,2024-08-13,England,74.22
P00678,2024-08-13,Wales,68.03
P00679,2024-08-14,Scotland,69.75
P00680,2024-08-14,England,75.33
P00681,2024-08-14,Wales,58.91
P00682,2024-08-15,Scotland,62.15
P00683,2024-08-15,England,79.18
P00684,2024-08-15,Wales,75.15
P00685,2024-08-16,Scotland,60.69
P00686,2024-08-16,England,64.88
P00687,2024-08-16,Wales,75.86
P00688,2024-08-17,Scotland,80.07
P00689,2024-08-17,England,72.18
P00690,2024-08-17,Wales,76.27
P00691,2024-08-18,Scotland,64.21
P00692,2024-08-18,England,63.07
P00693,2024-08-18,Wales,74.6
P00694,2024-08-19,Scotland,79.61
P00695,2024-08-19,England,78.66
P00696,2024-08-19,Wales,72.82
P00697,2024-08-20,Scotland,80.36
P00698,2024-08-20,England,75.06
P00699,2024-08-20,Wales,68.08
P00700,2024-08-21,Scotland,65.98
P00701,2024-08-21,England,83.6
P00702,2024-08-21,Wales,65.18
P00703,2024-08-22,Scotland,82.19
P00704,2024-08-22,England,86.48
P00705,2024-08-22,Wales,81.48
P00706,2024-08-23,Scotland,63.45
P00707,2024-08-23,England,73.34
P00708,2024-08-23,Wales,78.11
P00709,2024-08-24,Scotland,68.09
P00710,2024-08-24,England,71.59
P00711,2024-08-24,Wales,67.77
P00712,2024-08-25,Scotland,81.66
P00713,2024-08-25,England,73.29
P00714,2024-08-25,Wales,81.69
P00715,2024-08-26,Scotland,78.39
P00716,2024-08-26,England,80.6
P00717,2024-08-26,Wales,59.11
P00718,2024-08-27,Scotland,83.05
P00719,2024-08-27,England,66.41
P00720,2024-08-27,Wales,81.06
P00721,2024-08-28,Scotland,65.96
P00722,2024-08-28,England,65.71
P00723,2024-08-28,Wales,77.82
P00724,2024-08-29,Scotland,59.69
P00725,2024-08-29,England,87.58
P00726,2024-08-29,Wales,55.41
P00727,2024-08-30,Scotland,60.89
P00728,2024-08-30,England,86.52
P00729,2024-08-30,Wales,81.19
P00730,2024-08-31,Scotland,59.02
P00731,2024-08-31,England,84.1
P00732,2024-08-31,Wales,62.16
P00733,2024-09-01,Scotland,78.83
P00734,2024-09-01,England,78.73
P00735,2024-09-01,Wales,62.17
P00736,2024-09-02,Scotland,70.87
P00737,2024-09-02,England,86.21
P00738,2024-09-02,Wales,74.41
P00739,2024-09-03,Scotland,87.76
P00740,2024-09-03,England,84.92
P00741,2024-09-03,Wales,83.96
P00742,2024-09-04,Scotland,75.17
P00743,2024-09-04,England,82.61
P00744,2024-09-04,Wales,76.67
P00745,2024-09-05,Scotland,68.34
P00746,2024-09-05,England,86.48
P00747,2024-09-05,Wales,67.76
