generation_id,asset_id,site_id,generation_date,energy_mwh,expected_energy_mwh,availability_percent,downtime_hours
G0000237,A00105,S001,2024-01-30,127.96,128.05,100.0,0
G0000238,A00106,S001,2024-01-30,128.99,128.05,100.0,0
G0000239,A00107,S001,2024-01-30,106.01,128.05,83.33,4
G0000240,A00108,S001,2024-01-30,129.77,128.05,100.0,0
G0000241,A00101,S001,2024-01-31,201.83,253.73,100.0,0
G0000242,A00102,S001,2024-01-31,255.13,253.73,100.0,0
G0000243,A00103,S001,2024-01-31,252.95,253.73,100.0,0
G0000244,A00104,S001,2024-01-31,253.24,253.73,100.0,0
G0000245,A00105,S001,2024-01-31,253.87,253.73,100.0,0
G0000246,A00106,S001,2024-01-31,241.31,253.73,95.83,1
G0000247,A00107,S001,2024-01-31,254.11,253.73,100.0,0
G0000248,A00108,S001,2024-01-31,254.39,253.73,100.0,0
G0000249,A00101,S001,2024-02-01,77.58,91.67,83.33,4
G0000250,A00102,S001,2024-02-01,92.66,91.67,100.0,0
G0000251,A00103,S001,2024-02-01,91.17,91.67,100.0,0
G0000252,A00104,S001,2024-02-01,90.28,91.67,100.0,0
G0000253,A00105,S001,2024-02-01,93.36,91.67,100.0,0
G0000254,A00106,S001,2024-02-01,91.07,91.67,100.0,0
G0000255,A00107,S001,2024-02-01,91.07,91.67,100.0,0
G0000256,A00108,S001,2024-02-01,89.94,91.67,100.0,0
G0000257,A00101,S001,2024-02-02,141.06,175.13,100.0,0
G0000258,A00102,S001,2024-02-02,174.83,175.13,100.0,0
G0000259,A00103,S001,2024-02-02,173.87,175.13,100.0,0
G0000260,A00104,S001,2024-02-02,176.66,175.13,100.0,0
G0000261,A00105,S001,2024-02-02,173.99,175.13,100.0,0
G0000262,A00106,S001,2024-02-02,175.44,175.13,100.0,0
G0000263,A00107,S001,2024-02-02,173.92,175.13,100.0,0
G0000264,A00108,S001,2024-02-02,176.99,175.13,100.0,0
G0000265,A00101,S001,2024-02-03,109.28,108.58,100.0,0
G0000266,A00102,S001,2024-02-03,100.22,108.58,91.67,2
G0000267,A00103,S001,2024-02-03,108.07,108.58,100.0,0
G0000268,A00104,S001,2024-02-03,108.88,108.58,100.0,0
G0000269,A00105,S001,2024-02-03,110.26,108.58,100.0,0
G0000270,A00106,S001,2024-02-03,107.74,108.58,100.0,0
G0000271,A00107,S001,2024-02-03,110.04,108.58,100.0,0
G0000272,A00108,S001,2024-02-03,108.12,108.58,100.0,0
G0000273,A00101,S001,2024-02-04,123.91,123.65,100.0,0
G0000274,A00102,S001,2024-02-04,122.55,123.65,100.0,0
G0000275,A00103,S001,2024-02-04,124.74,123.65,100.0,0
G0000276,A00104,S001,2024-02-04,122.72,123.65,100.0,0
G0000277,A00105,S001,2024-02-04,83.46,123.65,66.67,8
G0000278,A00106,S001,2024-02-04,123.35,123.65,100.0,0
G0000279,A00107,S001,2024-02-04,125.15,123.65,100.0,0
G0000280,A00108,S001,2024-02-04,112.11,123.65,100.0,0
G0000281,A00101,S001,2024-02-05,315.08,342.0,100.0,0
G0000282,A00102,S001,2024-02-05,343.25,342.0,100.0,0
G0000283,A00103,S001,2024-02-05,342.39,342.0,100.0,0
G0000284,A00104,S001,2024-02-05,285.29,342.0,83.33,4
G0000285,A00105,S001,2024-02-05,315.9,342.0,100.0,0
G0000286,A00106,S001,2024-02-05,340.24,342.0,100.0,0
G0000287,A00107,S001,2024-02-05,340.53,342.0,100.0,0
G0000288,A00108,S001,2024-02-05,343.37,342.0,100.0,0
G0000289,A00101,S001,2024-02-06,288.22,287.14,100.0,0
G0000290,A00102,S001,2024-02-06,288.65,287.14,100.0,0
G0000291,A00103,S001,2024-02-06,288.62,287.14,100.0,0
G0000292,A00104,S001,2024-02-06,230.25,287.14,100.0,0
G0000293,A00105,S001,2024-02-06,286.73,287.14,100.0,0
G0000294,A00106,S001,2024-02-06,286.43,287.14,100.0,0
G0000295,A00107,S001,2024-02-06,288.55,287.14,100.0,0
G0000296,A00108,S001,2024-02-06,273.36,287.14,95.83,1
G0000297,A00101,S001,2024-02-07,123.69,190.74,100.0,0
G0000298,A00102,S001,2024-02-07,167.38,190.74,95.83,1
G0000299,A00103,S001,2024-02-07,182.23,190.74,95.83,1
G0000300,A00104,S001,2024-02-07,188.95,190.74,100.0,0
G0000301,A00105,S001,2024-02-07,190.46,190.74,100.0,0
G0000302,A00106,S001,2024-02-07,189.05,190.74,100.0,0
G0000303,A00107,S001,2024-02-07,188.77,190.74,100.0,0
G0000304,A00108,S001,2024-02-07,176.26,190.74,100.0,0
G0000305,A00101,S001,2024-02-08,186.27,186.74,100.0,0
G0000306,A00102,S001,2024-02-08,179.67,186.74,95.83,1
G0000307,A00103,S001,2024-02-08,185.39,186.74,100.0,0
G0000308,A00104,S001,2024-02-08,188.42,186.74,100.0,0
G0000309,A00105,S001,2024-02-08,188.32,186.74,100.0,0
G0000310,A00106,S001,2024-02-08,186.14,186.74,100.0,0
G0000311,A00107,S001,2024-02-08,187.32,186.74,100.0,0
G0000312,A00108,S001,2024-02-08,185.88,186.74,100.0,0
G0000313,A00101,S001,2024-02-09,341.57,342.0,100.0,0
G0000314,A00102,S001,2024-02-09,340.96,342.0,100.0,0
G0000315,A00103,S001,2024-02-09,340.28,342.0,100.0,0
G0000316,A00104,S001,2024-02-09,341.27,342.0,100.0,0
G0000317,A00105,S001,2024-02-09,342.19,342.0,100.0,0
G0000318,A00106,S001,2024-02-09,220.59,342.0,100.0,0
G0000319,A00107,S001,2024-02-09,343.69,342.0,100.0,0
G0000320,A00108,S001,2024-02-09,342.85,342.0,100.0,0
G0000321,A00101,S001,2024-02-10,95.99,97.67,100.0,0
G0000322,A00102,S001,2024-02-10,80.7,97.67,83.33,4
G0000323,A00103,S001,2024-02-10,98.25,97.67,100.0,0
G0000324,A00104,S001,2024-02-10,77.09,97.67,100.0,0
G0000325,A00105,S001,2024-02-10,89.98,97.67,91.67,2
G0000326,A00106,S001,2024-02-10,96.38,97.67,100.0,0
G0000327,A00107,S001,2024-02-10,97.66,97.67,100.0,0
G0000328,A00108,S001,2024-02-10,88.9,97.67,100.0,0
G0000329,A00101,S001,2024-02-11,172.53,180.32,95.83,1
G0000330,A00102,S001,2024-02-11,144.77,180.32,100.0,0
G0000331,A00103,S001,2024-02-11,181.76,180.32,100.0,0
G0000332,A00104,S001,2024-02-11,181.9,180.32,100.0,0
G0000333,A00105,S001,2024-02-11,178.33,180.32,100.0,0
G0000334,A00106,S001,2024-02-11,179.78,180.32,100.0,0
G0000335,A00107,S001,2024-02-11,142.4,180.32,100.0,0
G0000336,A00108,S001,2024-02-11,179.22,180.32,100.0,0
G0000337,A00101,S001,2024-02-12,268.38,270.17,100.0,0
G0000338,A00102,S001,2024-02-12,269.78,270.17,100.0,0
G0000339,A00103,S001,2024-02-12,258.16,270.17,95.83,1
G0000340,A00104,S001,2024-02-12,269.34,270.17,100.0,0
G0000341,A00105,S001,2024-02-12,269.64,270.17,100.0,0
G0000342,A00106,S001,2024-02-12,136.02,270.17,50.0,12
G0000343,A00107,S001,2024-02-12,271.9,270.17,100.0,0
G0000344,A00108,S001,2024-02-12,270.95,270.17,100.0,0
G0000345,A00101,S001,2024-02-13,175.58,173.59,100.0,0
G0000346,A00102,S001,2024-02-13,140.46,173.59,100.0,0
G0000347,A00103,S001,2024-02-13,175.49,173.59,100.0,0
G0000348,A00104,S001,2024-02-13,174.87,173.59,100.0,0
G0000349,A00105,S001,2024-02-13,175.45,173.59,100.0,0
G0000350,A00106,S001,2024-02-13,174.8,173.59,100.0,0
G0000351,A00107,S001,2024-02-13,172.68,173.59,100.0,0
G0000352,A00108,S001,2024-02-13,173.93,173.59,100.0,0
G0000353,A00101,S001,2024-02-14,204.87,246.76,83.33,4
G0000354,A00102,S001,2024-02-14,247.51,246.76,100.0,0
G0000355,A00103,S001,2024-02-14,248.11,246.76,100.0,0
G0000356,A00104,S001,2024-02-14,246.19,246.76,100.0,0
G0000357,A00105,S001,2024-02-14,248.73,246.76,100.0,0
G0000358,A00106,S001,2024-02-14,247.76,246.76,100.0,0
G0000359,A00107,S001,2024-02-14,245.32,246.76,100.0,0
G0000360,A00108,S001,2024-02-14,247.34,246.76,100.0,0
G0000361,A00101,S001,2024-02-15,161.44,170.01,95.83,1
G0000362,A00102,S001,2024-02-15,168.18,170.01,100.0,0
G0000363,A00103,S001,2024-02-15,171.3,170.01,100.0,0
G0000364,A00104,S001,2024-02-15,168.7,170.01,100.0,0
G0000365,A00105,S001,2024-02-15,171.55,170.01,100.0,0
G0000366,A00106,S001,2024-02-15,169.19,170.01,100.0,0
G0000367,A00107,S001,2024-02-15,169.13,170.01,100.0,0
G0000368,A00108,S001,2024-02-15,156.51,170.01,100.0,0
G0000369,A00101,S001,2024-02-16,246.58,246.64,100.0,0
G0000370,A00102,S001,2024-02-16,245.36,246.64,100.0,0
G0000371,A00103,S001,2024-02-16,228.02,246.64,100.0,0
G0000372,A00104,S001,2024-02-16,165.49,246.64,66.67,8
G0000373,A00105,S001,2024-02-16,206.16,246.64,83.33,4
G0000374,A00106,S001,2024-02-16,225.13,246.64,100.0,0
G0000375,A00107,S001,2024-02-16,228.1,246.64,100.0,0
G0000376,A00108,S001,2024-02-16,225.61,246.64,100.0,0
G0000377,A00101,S001,2024-02-17,193.8,241.94,100.0,0
G0000378,A00102,S001,2024-02-17,158.79,241.94,100.0,0
G0000379,A00103,S001,2024-02-17,240.3,241.94,100.0,0
G0000380,A00104,S001,2024-02-17,239.94,241.94,100.0,0
G0000381,A00105,S001,2024-02-17,242.8,241.94,100.0,0
G0000382,A00106,S001,2024-02-17,240.02,241.94,100.0,0
G0000383,A00107,S001,2024-02-17,223.16,241.94,91.67,2
G0000384,A00108,S001,2024-02-17,203.38,241.94,83.33,4
G0000385,A00101,S001,2024-02-18,240.56,260.41,91.67,2
G0000386,A00102,S001,2024-02-18,209.11,260.41,100.0,0
G0000387,A00103,S001,2024-02-18,260.77,260.41,100.0,0
G0000388,A00104,S001,2024-02-18,258.92,260.41,100.0,0
G0000389,A00105,S001,2024-02-18,190.54,260.41,91.67,2
G0000390,A00106,S001,2024-02-18,217.42,260.41,83.33,4
G0000391,A00107,S001,2024-02-18,217.27,260.41,83.33,4
G0000392,A00108,S001,2024-02-18,259.37,260.41,100.0,0
G0000393,A00101,S001,2024-02-19,281.48,306.19,100.0,0
G0000394,A00102,S001,2024-02-19,305.21,306.19,100.0,0
G0000395,A00103,S001,2024-02-19,307.12,306.19,100.0,0
G0000396,A00104,S001,2024-02-19,292.94,306.19,95.83,1
G0000397,A00105,S001,2024-02-19,307.64,306.19,100.0,0
G0000398,A00106,S001,2024-02-19,304.48,306.19,100.0,0
G0000399,A00107,S001,2024-02-19,307.99,306.19,100.0,0
G0000400,A00108,S001,2024-02-19,307.11,306.19,100.0,0
G0000401,A00101,S001,2024-02-20,222.03,220.26,100.0,0
G0000402,A00102,S001,2024-02-20,209.49,220.26,95.83,1
G0000403,A00103,S001,2024-02-20,221.15,220.26,100.0,0
G0000404,A00104,S001,2024-02-20,219.21,220.26,100.0,0
G0000405,A00105,S001,2024-02-20,201.26,220.26,100.0,0
G0000406,A00106,S001,2024-02-20,220.91,220.26,100.0,0
G0000407,A00107,S001,2024-02-20,218.95,220.26,100.0,0
G0000408,A00108,S001,2024-02-20,201.88,220.26,100.0,0
G0000409,A00101,S001,2024-02-21,53.16,58.35,100.0,0
G0000410,A00102,S001,2024-02-21,57.26,58.35,100.0,0
G0000411,A00103,S001,2024-02-21,59.02,58.35,100.0,0
G0000412,A00104,S001,2024-02-21,60.23,58.35,100.0,0
G0000413,A00105,S001,2024-02-21,54.96,58.35,100.0,0
G0000414,A00106,S001,2024-02-21,53.58,58.35,100.0,0
G0000415,A00107,S001,2024-02-21,59.96,58.35,100.0,0
G0000416,A00108,S001,2024-02-21,54.89,58.35,100.0,0
G0000417,A00101,S001,2024-02-22,77.82,143.6,66.67,8
G0000418,A00102,S001,2024-02-22,93.08,143.6,100.0,0
G0000419,A00103,S001,2024-02-22,131.14,143.6,100.0,0
G0000420,A00104,S001,2024-02-22,131.18,143.6,91.67,2
G0000421,A00105,S001,2024-02-22,143.43,143.6,100.0,0
